Name,Birth Date,Space Flight (hr),Space Walks (hr),Mission
Joseph M. Acaba,5/17/1967,3307,13.0,STS-119
Loren W. Acton,3/7/1936,190,0.0,STS51-F
James C. Adamson,3/3/1946,334,0.0,STS-28
Thomas D. Akers,5/20/1951,814,29.0,STS-41
Buzz Aldrin,1/20/1930,289,8.0,Gemini12
Andrew M. Allen,8/4/1955,906,0.0,STS-46
Joseph P. Allen,6/27/1937,313,12.0,ST-5
Scott D. Altman,8/15/1959,1236,0.0,STS-90
William A. Anders,10/17/1933,147,0.0,Apollo8
Clayton C. Anderson,2/23/1959,4005,38.0,STS-117/120
Michael P. Anderson,12/25/1959,594,0.0,STS-89
Dominic A. Antonelli,8/23/1967,579,0.0,STS-119
Jerome Apt III ,4/18/1949,847,11.0,STS-37
Lee J. Archambault,8/25/1960,639,0.0,STS-117
Neil A. Armstrong,8/5/1930,205,2.0,Gemini8
Richard R. Arnold II ,11/26/1963,307,12.0,STS-119
Jeffrey S. Ashby,6/1/1954,655,0.0,STS-93
Serena M. Aunon,4/9/1976,0,0.0,
James P. Bagian,2/22/1952,337,0.0,STS-29
Ellen S. Baker,4/27/1953,686,0.0,STS-34
Michael A. Baker,10/27/1953,965,0.0,STS-43
Michael R. Barratt,4/16/1959,5075,5.0,ISS-19/20
Daniel T. Barry,12/30/1953,733,26.0,STS-72
John-David F. Bartoe,11/17/1944,190,0.0,STS51-F
Charles A. Bassett II ,12/30/1931,0,0.0,
Alan L. Bean,3/15/1932,1671,10.0,Apollo12
Robert L. Behnken,7/28/1970,708,37.0,STS-123
John E. Blaha,8/26/1942,3861,0.0,STS-29
Michael J. Bloomfield,3/16/1959,779,0.0,STS-86
Guion S. Bluford Jr. ,11/22/1942,689,0.0,STS-8
Karol J. Bobko,12/23/1937,386,0.0,STS-6
Eric A. Boe,10/1/1964,687,0.0,STS-126
Charles F. Bolden Jr. ,8/19/1946,680,0.0,STS-61C
Frank Borman,3/14/1928,477,0.0,Gemini7
Stephen G. Bowen,2/13/1964,970,47.0,STS-126
Kenneth D. Bowersox,11/14/1956,5078,13.0,STS-50
Charles E. Brady Jr. ,8/12/1951,405,0.0,STS-78
Vance D. Brand,5/9/1931,752,0.0,Apollo-SoyuzTestProject
Daniel C. Brandenstein,1/17/1943,789,0.0,STS-8
Randolph J. Bresnik,9/11/1967,259,12.0,STS-129
Roy D. Bridges Jr. ,7/19/1943,190,0.0,STS51-F
Curtis L. Brown Jr. ,3/11/1956,1383,0.0,STS-47
David M. Brown,4/16/1956,382,0.0,STS-107
Mark N. Brown,11/18/1951,249,0.0,STS28
James F. Buchli,6/20/1945,490,0.0,STS51-C
Jay Clark Buckey,6/6/1956,381,0.0,STS-90
John S. Bull,9/25/1934,0,0.0,
Daniel C. Burbank,7/27/1961,4512,7.0,STS-106
Daniel W. Bursch,7/25/1957,5446,12.0,STS-51
Robert D. Cabana,1/23/1949,910,0.0,STS-41
Yvonne D. Cagle,4/24/1959,0,0.0,
Fernando Caldeiro,6/12/1958,0,0.0,
Tracy E. Caldwell (Dyson),8/14/1969,4531,23.0,STS-118
Charles J. Camarda,5/8/1952,333,0.0,STS-114
Kenneth D. Cameron,11/29/1949,562,0.0,STS-37
Duane G. Carey,4/30/1957,262,0.0,STS-109
M. Scott Carpenter,5/1/1925,4,0.0,Mercury7
Gerald P. Carr,8/22/1932,2017,16.0,Skylab4
Manley Lanier Carter Jr. ,8/15/1947,120,0.0,STS-33
John H. Casper,7/9/1943,825,0.0,STS-36
Christopher J. Cassidy,1/4/1970,4376,31.0,STS-127
Robert Cenker,11/5/1948,146,0.0,STS61-C
Eugene A. Cernan,3/14/1934,566,24.0,Gemini9
Roger B. Chaffee,2/15/1935,0,0.0,Apollo1
Gregory E. Chamitoff,8/6/1962,4770,13.0,STS-124/126
Franklin R. Chang-Diaz,4/5/1950,1602,19.0,STS61-C
Philip K. Chapman,3/5/1935,0,0.0,
Kalpana Chawla,6/1/1961,734,0.0,STS-87
Leroy Chiao,8/28/1960,5503,36.0,STS-65
Kevin P. Chilton,3/11/1954,700,0.0,STS-49
Laurel B. Clark,3/10/1961,382,0.0,STS-107
Mary L. Cleave,2/5/1947,262,0.0,STS61-B
Michael R. Clifford,10/13/1952,666,6.0,STS-53
Michael L. Coats,1/16/1946,463,0.0,STS41-D
Kenneth D. Cockrell,4/9/1950,1548,0.0,STS-56
Catherine G. Coleman,12/14/1960,4324,0.0,STS-73
Eileen M. Collins,11/19/1959,890,0.0,STS-63
Michael Collins,10/31/1930,266,1.0,Gemini10
Charles Conrad Jr. ,5/2/1930,1179,12.0,Gemini5
L. Gordon Cooper Jr. ,3/6/1927,225,0.0,Mercury9
Richard O. Covey,8/1/1946,645,0.0,STS51-l
Timothy J. Creamer,11/15/1959,3917,0.0,ISS-22/23
John O. Creighton,4/28/1943,404,0.0,STS51-G
Robert L. Crippen,9/11/1937,565,0.0,STS-1
Roger K. Crouch,9/12/1940,471,0.0,STS-83
Frank L. Culbertson Jr. ,5/15/1949,3446,5.0,STS-38
Walter Cunningham,3/16/1932,260,0.0,Apollo7
Robert L. Curbeam Jr. ,3/5/1962,902,45.0,STS-85
Nancy J. Currie,12/29/1958,999,0.0,STS-57
N. Jan Davis,11/1/1953,673,0.0,STS-47
Lawrence J. Delucas,7/11/1950,331,0.0,STS-50
Alvin B. Drew Jr. ,11/5/1962,613,13.0,STS-118
Brian Duffy,6/20/1953,977,0.0,STS-45
Charles M. Duke Jr. ,10/3/1935,265,20.0,Apollo16
Bonnie J. Dunbar,3/3/1949,1207,0.0,STS61-A
Samuel T. Durrance,9/17/1943,614,0.0,STS-35
James P. Dutton Jr. ,11/20/1968,362,0.0,STS-131
Joe F. Edwards Jr. ,2/3/1958,211,0.0,STS-89
Donn F. Eisele,5/23/1930,260,0.0,Apollo7
Anthony W. England,5/15/1942,190,0.0,STS51-F
Joe H. Engle,8/26/1932,224,0.0,STS-2
Jeanette J. Epps,11/3/1970,0,0.0,
Ronald E. Evans Jr. ,11/10/1933,301,1.0,Apollo17
John M. Fabian,1/28/1939,316,0.0,STS-7
Christopher J. Ferguson,9/1/1961,970,0.0,STS-115
Martin J. Fettman,12/31/1956,336,0.0,STS-58
Andrew J. Feustel,8/25/1965,687,42.0,STS-125
E. Michael Fincke,3/14/1967,9159,48.0,ISS-09
Jack D. Fischer,1/23/1974,0,0.0,
Anna L. Fisher,8/24/1949,191,0.0,STS51-A
William F. Fisher,4/1/1946,170,12.0,STS51-I
C. Michael Foale,1/6/1957,8970,22.0,STS-45
Kevin A. Ford,7/7/1960,3781,0.0,STS-128
Michael J. Foreman,3/29/1957,637,32.0,STS-123
Patrick G. Forrester,3/31/1957,950,25.0,STS-105
Michael E. Fossum,12/19/1957,4651,48.0,STS-121
Theodore C. Freeman,2/18/1930,0,0.0,
Stephen N. Frick,9/30/1961,566,0.0,STS-110
C. Gordon Fullerton,10/11/1936,382,0.0,STS-3
F. Andrew Gaffney,6/9/1946,218,0.0,STS-40
Ronald J. Garan Jr. ,10/20/1961,4271,27.0,STS-124
Dale A. Gardner,11/8/1948,336,12.0,STS-8
Guy S. Gardner,1/6/1948,320,0.0,STS-27
Jake Garn,10/12/1932,167,0.0,STS51-D
Owen K. Garriott,11/22/1930,1674,14.0,Skylab3
Charles D. Gemar,8/4/1955,581,0.0,STS-38
Michael L. Gernhardt,5/4/1956,1039,23.0,STS-69
Edward G. Gibson,11/8/1936,2017,15.0,Skylab4
Robert L. Gibson,10/30/1946,868,0.0,STS41-B
Edward G. Givens Jr. ,1/5/1930,0,0.0,
John H. Glenn Jr. ,7/18/1921,218,0.0,Mercury6
Linda M. Godwin,7/2/1952,918,10.0,STS-37
Michael T. Good,10/13/1962,592,30.0,STS-125
Richard F. Gordon Jr. ,10/5/1929,315,0.5,Gemini11
Dominic L. Gorie,5/2/1957,1167,0.0,STS-91
Ronald J. Grabe,6/13/1945,627,0.0,STS51-J
Duane E. Graveline,3/2/1931,0,0.0,
Frederick D. Gregory,1/7/1941,455,0.0,STS51-B
William G. Gregory,5/14/1957,399,0.0,STS-67
S. David Griggs,9/7/1939,167,3.0,STS51-D
Virgil I. Grissom,4/3/1926,5,0.0,Mercury4
John M. Grunsfeld,10/10/1958,1407,58.0,STS-67
Sidney M. Gutierrez,6/27/1951,488,0.0,STS-40
Fred W. Haise Jr. ,11/14/1933,142,0.0,Apollo13
James D. Halsell Jr. ,9/29/1956,1258,0.0,STS-65
Kenneth T. Ham,12/12/1964,612,0.0,STS-124
L. Blaine Hammond Jr. ,1/16/1952,462,0.0,STS-39
Gregory J. Harbaugh,4/15/1956,817,18.0,STS-39
Bernard A. Harris Jr. ,6/26/1956,438,5.0,STS-55
Terry J. Hart,10/27/1946,167,0.0,STS41-C
Henry W. Hartsfield Jr. ,11/21/1933,482,0.0,STS-4
Frederick H. Hauck,4/11/1941,435,0.0,STS-7
Steven A. Hawley,12/12/1951,770,0.0,STS41-D
Susan J. Helms,2/26/1958,5063,9.0,STS-54
Karl G. Henize,10/17/1926,190,0.0,STS51-F
Thomas J. Hennen,8/17/1952,166,0.0,STS-44
Terence T. Henricks,7/5/1952,1026,0.0,STS-44
Jose M. Hernandez,8/7/1962,332,0.0,STS-128
John B. Herrington,9/14/1958,330,20.0,STS-113
Richard J. Hieb,9/21/1955,766,18.0,STS-39
Joan E. Higginbotham,8/3/1964,308,0.0,STS-116
David C. Hilmers,1/28/1950,494,0.0,ST51-J
Kathryn P. Hire,8/26/1959,711,0.0,STS-90
Charles O. Hobaugh,11/5/1961,873,0.0,STS-104
Jeffrey A. Hoffman,11/2/1944,1211,25.0,STS51-D
Donald L. Holmquest,4/7/1939,0,0.0,
Michael S. Hopkins,12/28/1968,3990,13.0,ISS-37/38
Scott J. Horowitz,3/24/1957,1137,0.0,STS-75
Millie Hughes-Fulford,12/21/1945,218,0.0,STS-40
Douglas G. Hurley,10/21/1966,683,0.0,STS-127
Rick D. Husband,7/12/1957,617,0.0,STS-96
James B. Irwin,3/17/1930,295,20.0,Apollo15
Marsha S. Ivins,4/15/1951,1341,0.0,STS-32
Gregory B. Jarvis,8/24/1944,0,0.0,STS51-L
Mae C. Jemison,10/17/1956,190,0.0,STS-47
Tamara E. Jernigan,5/7/1959,1489,8.0,STS-40
Brent W. Jett,10/5/1958,1002,0.0,STS-72
Gregory C. Johnson,7/30/1954,309,0.0,STS-125
Gregory H. Johnson,5/12/1962,755,0.0,STS-123
Thomas D. Jones,1/22/1955,1272,20.0,STS-59
Janet L. Kavandi,7/17/1959,812,0.0,STS-91
James M. Kelly,5/14/1964,641,0.0,STS-102
Mark E. Kelly,2/21/1964,1298,0.0,STS-108
Scott J. Kelly,2/21/1964,12490,18.0,STS-103
Joseph P. Kerwin,2/19/1932,672,3.0,Skylab2
Susan L. Kilrain (Still),10/24/1961,472,0.0,STS-83
Robert Shane Kimbrough,6/4/1967,3720,25.0,STS-126
Timothy L. Kopra,4/9/1963,5857,13.0,STS-127/128
Kevin R. Kregel,9/16/1956,1265,0.0,STS-70
Wendy B. Lawrence,7/2/1959,1223,0.0,STS-67
Mark C. Lee,8/14/1952,789,26.0,STS-30
David C. Leestma,5/6/1949,532,3.0,STS41-G
William B. Lenoir,3/14/1939,122,0.0,STS-5
Fred W. Leslie,12/19/1951,381,0.0,STS-73
Byron K. Lichtenberg,2/19/1948,461,0.0,STS-9
Don L. Lind,5/18/1930,168,0.0,STS51-B
Kjell N. Lindgren,1/23/1973,3400,15.0,ISS-44/45
Steven W. Lindsey,8/24/1960,1510,0.0,STS-87
Jerry M. Linenger,1/16/1955,3435,5.0,STS-64
Richard M. Linnehan,9/19/1957,1427,43.0,STS-78
Gregory T. Linteris,10/4/1957,471,0.0,STS-83
John A. Llewellyn,4/22/1933,0,0.0,
Paul S. Lockhart,4/28/1956,663,0.0,STS-111
Michael E. Lopez-Alegria,5/30/1958,6190,67.0,STS-73
Christopher J. Loria,7/9/1960,0,0.0,
J. Mike Lounge,6/28/1946,483,0.0,STS51-I
Jack R. Lousma,2/29/1936,1619,11.0,Skylab3
Stanley G. Love,6/8/1965,306,15.0,STS-122
James A. Lovell Jr. ,3/25/1928,715,0.0,Gemini7
G. David Low,2/19/1956,714,6.0,STS-32
Edward T. Lu,7/1/1963,4962,6.0,STS-84
Shannon W. Lucid,1/14/1943,5354,0.0,STS51-G
Sandra H. Magnus,10/30/1964,3776,0.0,STS-112
Thomas H. Marshburn,8/29/1960,3871,24.0,STS-127
Michael J. Massimino,8/19/1962,571,30.0,STS-109
Richard A. Mastracchio,2/11/1960,5461,53.0,STS-106
Thomas K. Mattingly II ,3/17/1936,508,1.0,Apollo16
K. Megan McArthur,8/30/1971,309,0.0,STS-125
William S. McArthur Jr. ,7/26/1951,5398,24.0,STS-58
S. Christa McAuliffe,9/2/1948,0,0.0,STS51-L
Jon A. McBride,8/14/1943,197,0.0,STS41-G
Bruce McCandless II ,6/8/1937,312,12.0,STS41-B
William C. McCool,9/23/1961,382,0.0,STS-107
Michael J. McCulley,8/4/1943,119,0.0,STS-34
James A. McDivitt,6/10/1929,338,0.0,Gemini4
Donald R. McMonagle,5/14/1952,605,0.0,STS-39
Ronald E. McNair,10/21/1950,191,0.0,STS41-B
Carl J. Meade,11/16/1950,712,6.0,STS-38
Bruce E. Melnick,12/5/1949,311,0.0,STS-41
Pamela A. Melroy,9/17/1961,914,0.0,STS-92
Leland D. Melvin,2/15/1964,565,0.0,STS-122
Dorothy M. Metcalf-Lindenberger,5/2/1975,362,0.0,STS-131
F. Curtis Michel,6/5/1934,0,0.0,
Edgar D. Mitchell,9/17/1930,216,9.0,Apollo14
Barbara R. Morgan,11/28/1951,305,0.0,STS-118
Lee M. Morin,9/9/1952,259,14.0,STS-110
Richard M. Mullane,9/10/1945,356,0.0,STS41-D
Story Musgrave,8/19/1935,1281,26.0,STS-6
Steven R. Nagel,10/27/1946,721,0.0,STS51-G
Bill Nelson,9/29/1942,146,0.0,STS61-C
George D. Nelson,7/13/1950,411,10.0,STS41-C
James H. Newman,10/16/1956,1042,43.0,STS-51
Carlos I. Noriega,10/8/1959,481,19.0,STS-84
Lisa M. Nowak,5/10/1963,306,0.0,STS-121
Karen L. Nyberg,10/7/1969,4320,0.0,STS-124
Bryan D. O'Connor,9/6/1946,383,0.0,STS61-B
Brian T. O'Leary,1/27/1940,0,0.0,
Ellen Ochoa,5/10/1958,979,0.0,STS-56
William A. Oefelein,3/29/1965,308,0.0,STS-116
John D. Olivas,5/25/1966,665,34.0,STS-117
Ellison S. Onizuka,6/24/1946,73,0.0,STS51-C
Stephen S. Oswald,6/30/1951,814,0.0,STS-42
Robert F. Overmyer,7/14/1936,290,0.0,STS-5
William A. Pailes,6/26/1952,97,0.0,STS51-J
Scott E. Parazynski,7/28/1961,1404,47.0,STS-66
Ronald A. Parise,5/24/1951,614,0.0,STS-35
Robert A. Parker,12/14/1936,462,0.0,STS-9
Niclolas J. M. Patrick,3/22/1964,638,18.0,STS-116
James A. Pawelczyk,9/20/1960,381,0.0,STS-90
Gary E. Payton,6/20/1948,73,0.0,STS51-C
Donald H. Peterson,10/22/1933,120,4.0,STS-6
Donald R. Pettit,4/20/1955,8872,13.0,ISS-6
John L. Phillips,4/15/1951,4880,5.0,STS-100
William R. Pogue,1/23/1930,2017,13.0,Skylab4
Alan G. Poindexter,11/5/1961,669,0.0,STS-122
Mark L. Polansky,6/2/1956,995,0.0,STS-98
Charles J. Precourt,6/29/1955,950,0.0,STS-55
William F. Readdy,1/24/1952,672,0.0,STS-42
Kenneth S. Reightler Jr. ,3/24/1951,327,0.0,STS-48
James F. Reilly II ,3/18/1954,854,31.0,STS-89
Garrett E. Reisman,2/10/1968,2571,21.0,STS-123/124
Judith A. Resnik,4/5/1949,144,0.0,STS41-D
Paul W. Richards,5/20/1964,307,6.0,STS-102
Richard N. Richards,8/24/1946,813,0.0,STS-28
Sally K. Ride,5/26/1951,343,0.0,STS-7
Patricia Hilliard Robertson,3/12/1963,0,0.0,
Stephen K. Robinson,10/26/1955,1162,20.0,STS-85
Kent V. Rominger,8/7/1956,1611,0.0,STS-73
Stuart A. Roosa,8/16/1933,216,0.0,Apollo14
Jerry L. Ross,1/20/1948,1393,58.0,ST61-B
Kathleen Rubins,10/14/1978,2762,13.0,ISS-48/49
Mario Runco Jr. ,1/26/1952,551,0.0,STS-44
Albert Sacco Jr.,5/3/1949,381,0.0,STS-73
Robert L. Satcher Jr. ,9/22/1965,259,12.0,STS-129
Walter M. Schirra Jr. ,3/12/1923,295,0.0,Mercury8
Harrison H. Schmitt,7/3/1935,301,22.0,Apollo17
Russell L. Schweickart,10/25/1935,241,1.0,Apollo9
Francis R. Scobee,5/19/1939,167,0.0,STS41-C
David R. Scott,6/6/1932,546,19.0,Gemini8
Winston E. Scott,8/6/1950,590,19.0,STS-72
Paul D. Scully-Power,5/28/1944,197,0.0,STS41-G
Richard A. Searfoss,6/5/1956,939,0.0,STS-58
Margaret Rhea Seddon,11/8/1947,722,0.0,STS51-D
Elliot M. See Jr. ,7/23/1927,0,0.0,
Ronald M. Sega,12/4/1952,420,0.0,STS-60
Piers J. Sellers,4/11/1955,839,41.0,STS-112
Brewster H. Shaw Jr. ,5/16/1945,533,0.0,STS-9
Alan B. Shepard Jr. ,11/18/1923,216,9.0,Mercury3
William M. Shepherd,7/26/1949,3823,0.0,STS-37
Loren J. Shriver,9/23/1944,386,0.0,STS51-C
Donald K. Slayton,3/1/1924,217,0.0,Apollo-SoyuzTestProject
Michael J. Smith,4/30/1945,0,0.0,STS51-L
Steven L. Smith,12/30/1958,960,49.0,STS-68
Sherwood C. Spring,9/23/1944,165,12.0,STS61-B
Robert C. Springer,5/21/1942,237,0.0,STS-29
Thomas P. Stafford,9/17/1930,507,0.0,Gemini6
Heidemarie M. Stefanyshyn-Piper,2/7/1963,663,33.0,STS-115
Robert L. Stewart,8/13/1942,289,12.0,STS41-B
Nicole P. Stott,11/19/1962,2477,6.0,STS-128/129
Frederick W. Sturckow,8/11/1961,1233,0.0,STS-88
Kathryn D. Sullivan,10/3/1951,532,3.0,STS41-G
Steven R. Swanson,12/3/1960,4700,28.0,STS-117
John L. Swigert Jr. ,8/30/1931,142,0.0,Apollo13
Daniel M. Tani,2/1/1961,3162,39.0,STS-108
Joseph R. Tanner,1/21/1950,1045,46.0,STS-66
Norman E. Thagard,7/3/1943,3373,0.0,STS-7
Andrew S. W. Thomas,12/18/1951,4257,6.0,STS-77
Donald A. Thomas,5/6/1955,1040,0.0,STS-65
Stephen D. Thorne,2/11/1953,0,0.0,
Kathryn C. Thornton,8/17/1952,975,21.0,STS-33
William E. Thornton,4/14/1929,315,0.0,STS-8
Pierre J. Thuot,5/19/1955,654,17.0,STS-36
Scott D. Tingle,7/19/1965,0,0.0,
Richard H. Truly,11/12/1937,199,0.0,STS-2
Lodewijk van den Berg,3/24/1932,168,0.0,STS51-B
James D. van Hoften,6/11/1944,338,22.0,STS41-C
Mark T. Vande Hei,11/10/1966,0,0.0,
Charles Lacy Veach,9/18/1944,436,0.0,STS-39
Terry W. Virts Jr. ,12/1/1967,5122,18.0,STS-130
James S. Voss,3/3/1949,4853,22.0,STS-44
Janice E. Voss,10/8/1956,1179,0.0,STS-57
Rex J. Walheim,10/10/1962,872,36.0,STS-110
Charles D. Walker,8/29/1948,477,0.0,STS41-D
David M. Walker,5/20/1944,724,0.0,STS51-A
Shannon Walker,6/4/1965,3919,0.0,ISS-24/25
Carl E. Walz,9/6/1955,5533,19.0,STS-51
Taylor G. Wang,6/16/1940,168,0.0,STS51-B
Mary E. Weber,8/24/1962,450,0.0,STS-70
Paul J. Weitz,6/25/1932,793,2.0,Skylab2
James D. Wetherbee,11/27/1952,1594,0.0,STS-32
Douglas H. Wheelock,5/5/1960,4281,43.0,STS-120
Edward H. White II ,11/14/1930,97,0.5,Gemini4
Peggy A. Whitson,2/9/1960,11698,46.0,STS-111/113
Terrence W. Wilcutt,10/31/1949,1008,0.0,STS-68
Clifton C. Williams Jr. ,9/26/1932,0,0.0,
Donald E. Williams,2/13/1958,287,0.0,STS51-D
Jeffrey N. Williams,1/18/1958,12818,32.0,STS-101
Sunita L. Williams,9/19/1965,7721,50.0,STS-116/117
Barry E. Wilmore,12/29/1962,4272,25.0,STS-129
Stephanie D. Wilson,9/27/1966,1031,0.0,STS-121
G. Reid Wiseman,11/11/1975,3968,13.0,ISS-40/41
Peter J. K. Wisoff,8/16/1958,1064,20.0,STS-57
David A. Wolf,8/23/1956,4044,41.0,STS-58
Neil W. Woodward III ,7/26/1962,0,0.0,
Alfred M. Worden,2/7/1932,295,0.5,Apollo15
John W. Young,9/24/1930,835,20.0,Gemini3
George D. Zamka,6/29/1962,692,0.0,STS-120
Buzz Aldrin,1/20/1930,289,8.0,Apollo11
Neil A. Armstrong,8/5/1930,205,2.0,Apollo11
Alan L. Bean,3/15/1932,1671,10.0,Skylab3
Frank Borman,3/14/1928,477,0.0,Apollo8
Vance D. Brand,5/9/1931,752,0.0,STS-5
James F. Buchli,6/20/1945,490,0.0,STS-48(Discovery
Eugene A. Cernan,3/14/1934,566,24.0,Apollo10
Michael Collins,10/31/1930,266,1.0,Apollo11
Charles Conrad Jr. ,5/2/1930,1179,12.0,Gemini11
L. Gordon Cooper Jr. ,3/6/1927,225,0.0,Gemini5
Owen K. Garriott,11/22/1930,1674,14.0,STS-9
John H. Glenn Jr. ,7/18/1921,218,0.0,STS-95
Richard F. Gordon Jr. ,10/5/1929,315,0.5,Apollo12
Virgil I. Grissom,4/3/1926,5,0.0,Gemini3
Jack R. Lousma,2/29/1936,1619,11.0,STS-3
James A. Lovell Jr. ,3/25/1928,715,0.0,Gemini12
Thomas K. Mattingly II ,3/17/1936,508,1.0,STS-4
James A. McDivitt,6/10/1929,338,0.0,Apollo9
Walter M. Schirra Jr. ,3/12/1923,295,0.0,Gemini6
David R. Scott,6/6/1932,546,19.0,Apollo9
Alan B. Shepard Jr. ,11/18/1923,216,9.0,Apollo14
Thomas P. Stafford,9/17/1930,507,0.0,Gemini9
Paul J. Weitz,6/25/1932,793,2.0,STS-6
Edward H. White II ,11/14/1930,97,0.5,Apollo1
John W. Young,9/24/1930,835,20.0,Gemini10
Eugene A. Cernan,3/14/1934,566,24.0,Apollo17
Charles Conrad Jr. ,5/2/1930,1179,12.0,Apollo12
Virgil I. Grissom,4/3/1926,5,0.0,Apollo1
James A. Lovell Jr. ,3/25/1928,715,0.0,Apollo8
Walter M. Schirra Jr. ,3/12/1923,295,0.0,Apollo7
David R. Scott,6/6/1932,546,19.0,Apollo15
Thomas P. Stafford,9/17/1930,507,0.0,Apollo10
John W. Young,9/24/1930,835,20.0,Apollo10
Eugene A. Cernan,3/14/1934,566,24.0,Apollo17
Charles Conrad Jr. ,5/2/1930,1179,12.0,Apollo12
Virgil I. Grissom,4/3/1926,5,0.0,Apollo1
James A. Lovell Jr. ,3/25/1928,715,0.0,Apollo8
Walter M. Schirra Jr. ,3/12/1923,295,0.0,Apollo7
David R. Scott,6/6/1932,546,19.0,Apollo15
Thomas P. Stafford,9/17/1930,507,0.0,Apollo10
John W. Young,9/24/1930,835,20.0,Apollo10
Charles Conrad Jr. ,5/2/1930,1179,12.0,Skylab2
James A. Lovell Jr. ,3/25/1928,715,0.0,Apollo13
Thomas P. Stafford,9/17/1930,507,0.0,Apollo-SoyuzTestProject
John W. Young,9/24/1930,835,20.0,Apollo16
John W. Young,9/24/1930,835,20.0,STS-1
